9976.692, 0.0, 8.0, 0.0, 1329.99, 1329.901, 3236.714, 3236.625, -1.24434, 2.562416, 0.088623, -364.474, -364.348, 634.7588, 634.78, 0.469998, -3.75653, -0.12622, 67.80463, 67.77933, 255.0686, 255.0686, -0.09686, 1.112569, 0.025299, 0.0, 6.467159, 0.0, 6.401367, -0.07111, -0.07111, 0.070492, 6.401367, 0.0, 0.0, 6.368986, 6.368986, 6.368986, -0.09034, -8.33774, -8.33774, -8.33774, 0.040988, 0.040988, 4.10e-07, -1.3484, -0.87253, -0.10114, -8.39563, 0.0, 9.262061, 0.0, 6.604366, 0.0, -6.73794, 0.0, -7.39667, 0.0, 0.0, 0.0, -6261.69, 0.0, -8452.69, 0.0, 0.081261, 0.0, -7.39667, 0.0, -2.89667, 0.0, 261.485, 261.485
10879.93, 0.0, 8.0, 0.0, 1337.217, 1337.005, 3243.942, 3243.915, -0.12578, 2.819616, 0.212158, -372.364, -372.269, 626.87, 626.85, 0.422679, -4.0791, -0.09503, 71.19151, 71.16389, 258.4555, 258.4555, -0.14154, 1.217244, 0.027618, 0.0, 6.074718, 0.0, 5.989502, -0.02569, -0.02569, 0.092601, 5.989502, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.11563, -8.12251, -8.12251, -8.12251, 0.041368, 0.041368, 4.14e-07, -1.29645, -0.81151, -0.12593, -8.42219, 0.0, 9.408296, 0.0, 6.577812, 0.0, -6.5917, 0.0, -6.98212, 0.0, 0.0, 0.0, -7164.93, 0.0, -9355.93, 0.0, 0.108209, 0.0, -6.98212, 0.0, -2.48212, 0.0, 264.46, 264.46
11832.48, 0.0, 8.0, 0.0, 1345.073, 1344.913, 3251.799, 3251.64, 0.07427, 3.041918, 0.159424, -380.941, -380.89, 618.2947, 618.345, 0.290324, -4.39494, -0.05029, 74.87305, 74.84314, 262.1371, 262.1371, -0.15706, 1.321931, 0.029907, 0.0, 5.74738, 0.0, 5.667938, -0.02106, -0.02106, 0.069523, 5.667938, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.09034, -8.62471, -8.62471, -8.62471, 0.051625, 0.051625, 5.16e-07, -1.23527, -0.69093, -0.12668, -8.42876, 0.0, 9.589421, 0.0, 6.571243, 0.0, -6.41058, 0.0, -6.67786, 0.0, 0.0, 0.0, -8117.48, 0.0, -10308.5, 0.0, 0.125237, 0.0, -6.67786, 0.0, -2.17786, 0.0, 267.825, 267.825
12722.89, 0.0, 8.0, 0.0, 1353.557, 1353.457, 3260.285, 3260.185, -1.37852, 3.263266, 0.100586, -390.204, -390.062, 609.033, 609.045, 0.35432, -4.77903, -0.14197, 78.84934, 78.81715, 266.1133, 266.1133, -0.10567, 1.426613, 0.032196, 0.0, 5.485147, 0.0, 5.386658, 0.020664, 0.020664, 0.086312, 5.386658, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.10615, -8.62471, -8.62471, -8.62471, 0.045926, 0.045926, 4.59e-07, -1.26896, -0.72391, -0.14643, -8.41232, 0.0, 9.596356, 0.0, 6.587676, 0.0, -6.40364, 0.0, -6.39883, 0.0, 0.0, 0.0, -9007.89, 0.0, -11198.9, 0.0, 0.133265, 0.0, -6.39883, 0.0, -1.89883, 0.0, 271.545, 271.545
13640.1, 0.0, 8.0, 0.0, 1362.671, 1362.42, 3269.401, 3269.395, -2.66153, 3.525905, 0.250732, -400.154, -400.053, 599.0849, 599.04, 0.493458, -5.09627, -0.1001, 83.12034, 83.08582, 270.3843, 270.3843, -0.2147, 1.531295, 0.034515, 0.0, 5.288017, 0.0, 5.160645, 0.069201, 0.069201, 0.112846, 5.160645, 0.0, 0.0, 6.368986, 6.368986, 6.368986, -0.10931, -8.40949, -8.40949, -8.40949, 0.059983, 0.059983, 6.00e-07, -1.24052, -0.72998, -0.14978, -8.43402, 0.0, 9.515263, 0.0, 6.565979, 0.0, -6.48474, 0.0, -6.17517, 0.0, 0.0, 0.0, -9925.1, 0.0, -12116.1, 0.0, 0.147255, 0.0, -6.17517, 0.0, -1.67517, 0.0, 275.59, 275.59
14550.36, 0.0, 8.0, 0.0, 1372.413, 1372.198, 3279.145, 3278.93, -3.33509, 3.751208, 0.215088, -410.79, -410.735, 588.4503, 588.505, 0.495673, -5.41167, -0.05469, 87.68604, 87.64921, 274.9501, 274.9501, -0.164, 1.635979, 0.036835, 0.0, 5.155993, 0.0, 5.089966, 0.04318, 0.04318, 0.054216, 5.089966, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.13144, -8.48123, -8.48123, -8.48123, 0.026552, 0.026552, 2.66e-07, -1.2925, -0.77242, -0.14611, -8.45823, 0.0, 9.25335, 0.0, 6.54177, 0.0, -6.74665, 0.0, -6.10178, 0.0, 0.0, 0.0, -10835.4, 0.0, -13026.4, 0.0, 0.149589, 0.0, -6.10178, 0.0, -1.60178, 0.0, 280.09, 280.09
15570.85, 0.0, 8.0, 0.0, 1382.784, 1382.676, 3289.518, 3289.41, -2.22607, 3.962331, 0.108154, -422.113, -422.112, 577.1292, 577.13, 0.33931, -5.72272, -0.00073, 92.54643, 92.50733, 279.8104, 279.8104, 0.006968, 1.740645, 0.039093, 0.0, 5.089072, 0.0, 4.984558, 0.108437, 0.108437, 0.095419, 4.984558, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.0935, -8.19425, -8.19425, -8.19425, 0.088855, 0.088855, 8.89e-07, -1.34872, -0.78015, -0.16313, -8.44242, 0.0, 9.127039, 0.0, 6.557583, 0.0, -6.87296, 0.0, -5.99365, 0.0, 0.0, 0.0, -11855.8, 0.0, -14046.8, 0.0, 0.152255, 0.0, -5.99365, 0.0, -1.49365, 0.0, 284.85, 284.85
16225.02, 0.0, 8.0, 0.0, 1393.515, 1393.394, 3300.251, 3300.385, 1.928014, 3.998713, 0.12085, -433.828, -433.779, 565.4158, 565.3, 0.306559, -5.7944, -0.04926, 97.57532, 97.53605, 284.8393, 284.8393, -0.1937, 1.788991, 0.039276, 0.0, 5.08, 0.0, 4.995666, 0.102141, 0.102141, 0.075056, 4.995666, 0.0, 0.0, 7.127708, 7.127708, 7.127708, -0.09667, -8.266, -8.266, -8.266, 0.03225, 0.03225, 3.23e-07, -1.26647, -0.72719, -0.16324, -8.31681, 0.0, 8.790087, 0.0, 6.68319, 0.0, -7.20991, 0.0, -6.00494, 0.0, 0.0, 0.0, -12510.0, 0.0, -14701.0, 0.0, 0.162571, 0.0, -6.00494, 0.0, -1.50494, 0.0, 289.89, 289.89
16103.49, 0.0, 8.0, 0.0, 1404.247, 1404.287, 3310.985, 3311.025, 2.789497, 3.967991, -0.03955, -445.545, -445.561, 553.7004, 553.685, 0.349018, -5.76205, 0.015381, 102.6051, 102.5657, 289.869, 289.869, -0.21218, 1.786451, 0.039307, 0.0, 5.08, 0.0, 5.040954, 0.084809, 0.084809, 0.054762, 5.040954, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.12512, -8.33774, -8.33774, -8.33774, 0.03453, 0.03453, 3.45e-07, -1.11585, -0.65255, -0.14895, -8.22654, 0.0, 8.732823, 0.0, 6.773459, 0.0, -7.26718, 0.0, -6.02524, 0.0, 0.0, 0.0, -12388.5, 0.0, -14579.5, 0.0, 0.162607, 0.0, -6.02524, 0.0, -1.52524, 0.0, 294.94, 294.94
15976.68, 0.0, 8.0, 0.0, 1414.98, 1415.085, 3321.72, 3321.825, 0.016001, 3.955626, -0.10522, -457.263, -457.328, 541.985, 541.92, 0.317975, -5.73717, 0.065002, 107.6347, 107.5955, 294.8987, 294.8987, -0.13557, 1.786498, 0.039276, 0.0, 5.08, 0.0, 5.046265, 0.082146, 0.082146, 0.049482, 5.046265, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.09983, -8.33774, -8.33774, -8.33774, 0.023513, 0.023513, 2.35e-07, -0.42264, -0.13744, -0.0776, -8.22809, 0.0, 8.94313, 0.0, 6.771909, 0.0, -7.05687, 0.0, -6.03052, 0.0, 0.0, 0.0, -12261.7, 0.0, -14452.7, 0.0, 0.132912, 0.0, -6.03052, 0.0, -1.53052, 0.0, 299.97, 299.97
15919.88, 0.0, 8.0, 0.0, 1425.712, 1425.593, 3332.454, 3332.6, -2.84172, 4.00066, 0.119385, -468.98, -468.939, 530.2696, 530.155, 0.425756, -5.78978, -0.04041, 112.6645, 112.6252, 299.9285, 299.9285, 0.029767, 1.7865, 0.039276, 0.0, 5.08, 0.0, 5.051514, 0.080256, 0.080256, 0.044203, 5.051514, 0.0, 0.0, 6.558667, 6.558667, 6.558667, -0.1188, -8.33774, -8.33774, -8.33774, 0.045547, 0.045547, 4.55e-07, -0.25568, -0.00976, -0.05165, -8.22729, 0.0, 8.451139, 0.0, 6.772711, 0.0, -7.54886, 0.0, -6.0358, 0.0, 0.0, 0.0, -12204.9, 0.0, -14395.9, 0.0, 0.074246, 0.0, -6.0358, 0.0, -1.5358, 0.0, 305.01, 305.01
15933.83, 0.0, 8.0, 0.0, 1436.445, 1436.401, 3343.189, 3343.145, -3.4525, 3.985303, 0.043701, -480.697, -480.706, 518.5542, 518.38, 0.37787, -5.76459, 0.009216, 117.6942, 117.6549, 304.9582, 304.9582, -0.03073, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.041809, 0.089752, 0.089752, 0.053877, 5.041809, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.11247, -8.19425, -8.19425, -8.19425, 0.040608, 0.040608, 4.06e-07, -0.50276, -0.18487, -0.08396, -8.25618, 0.0, 7.896627, 0.0, 6.743817, 0.0, -8.10337, 0.0, -6.02612, 0.0, 0.0, 0.0, -12218.8, 0.0, -14409.8, 0.0, 0.0624, 0.0, -6.02612, 0.0, -1.52612, 0.0, 310.03, 310.03
16051.71, 0.0, 8.0, 0.0, 1447.177, 1447.284, 3353.923, 3354.03, -0.41783, 3.955022, -0.10669, -492.415, -492.468, 506.8388, 506.785, 0.31706, -5.74192, 0.053802, 122.7239, 122.6846, 309.9879, 309.9879, -0.07605, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.042114, 0.067753, 0.067753, 0.028608, 5.042114, 0.0, 0.0, 6.368986, 6.368986, 6.368986, -0.10931, -8.55297, -8.55297, -8.55297, 0.040228, 0.040228, 4.02e-07, -0.41785, -0.09209, -0.07856, -8.24784, 0.0, 7.937295, 0.0, 6.752164, 0.0, -8.0627, 0.0, -6.05139, 0.0, 0.0, 0.0, -12336.7, 0.0, -14527.7, 0.0, 0.082321, 0.0, -6.05139, 0.0, -1.55139, 0.0, 315.055, 315.055
16088.78, 0.0, 8.0, 0.0, 1457.909, 1457.892, 3364.658, 3364.91, 2.007146, 3.979864, 0.017822, -504.132, -504.07, 495.1234, 495.015, 0.454183, -5.79947, -0.06161, 127.7536, 127.7143, 315.0176, 315.0176, -0.01921, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.037384, 0.069142, 0.069142, 0.028303, 5.037384, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.11563, -8.266, -8.266, -8.266, 0.040228, 0.040228, 4.02e-07, -0.421, -0.10453, -0.0632, -8.24832, 0.0, 8.439977, 0.0, 6.751678, 0.0, -7.56002, 0.0, -6.0517, 0.0, 0.0, 0.0, -12373.8, 0.0, -14564.8, 0.0, 0.075763, 0.0, -6.0517, 0.0, -1.5517, 0.0, 320.085, 320.085
16029.13, 0.0, 8.0, 0.0, 1468.642, 1468.73, 3375.392, 3375.48, 2.111841, 3.958795, -0.08765, -515.849, -515.842, 483.408, 483.245, 0.27474, -5.77186, -0.00699, 132.7833, 132.744, 320.0473, 320.0473, -0.06865, 1.786498, 0.039307, 0.0, 5.08, 0.0, 5.037659, 0.069784, 0.069784, 0.028028, 5.037659, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.11247, -8.48123, -8.48123, -8.48123, 0.042128, 0.042128, 4.21e-07, -0.51877, -0.19704, -0.07066, -8.25959, 0.0, 8.803309, 0.0, 6.74041, 0.0, -7.19669, 0.0, -6.05197, 0.0, 0.0, 0.0, -12314.1, 0.0, -14505.1, 0.0, 0.066998, 0.0, -6.05197, 0.0, -1.55197, 0.0, 325.14, 325.14
