7990.292, 35.3573, 17.0, 0.0, 1868.228, 1868.453, 3775.055, 3775.145, 1.317573, -2.10173, -0.22559, -952.102, -952.157, 47.22496, 47.17, -0.28364, 3.030618, 0.054958, 320.0476, 320.0681, 507.3116, 507.3116, 0.366822, -0.89421, -0.02048, 0.0, 5.08, 0.0, 5.198425, -0.09381, -0.09381, -0.1079, 5.198425, 0.0, 834.9609, 833.3766, 833.3766, 833.3766, -0.03322, 20.93353, 20.93353, 20.93353, 1.863351, 1.863351, 1.86e-05, 0.969997, 0.537972, 0.292314, -7.63714, 0.0, 6.900977, 0.0, 7.362857, 0.0, -9.09902, 0.0, -6.1879, 0.0, 0.0, 0.0, -4275.29, 0.0, -6466.29, 0.0, -0.28668, 0.0, -6.1879, 0.0, -1.6879, 0.0, 512.475, 512.475
8923.967, 44.14944, 17.0, 0.0, 1862.313, 1862.479, 3769.138, 3769.305, 0.900633, -2.32283, -0.16675, -945.644, -945.761, 53.68186, 53.66, -0.49182, 3.399777, 0.116859, 317.2755, 317.2982, 504.5394, 504.5394, 0.323785, -0.9989, -0.0228, 0.0, 5.08, 0.0, 5.180542, -0.09742, -0.09742, -0.10774, 5.180542, 0.0, 928.7109, 931.2517, 931.2517, 931.2517, -0.03875, 22.87059, 22.87059, 22.87059, 2.051399, 2.051399, 2.05e-05, 1.052172, 0.581253, 0.303682, -7.60472, 0.0, 6.688282, 0.0, 7.395278, 0.0, -9.31172, 0.0, -6.18774, 0.0, 0.0, 0.0, -5208.97, 0.0, -7399.97, 0.0, -0.294, 0.0, -6.18774, 0.0, -1.68774, 0.0, 509.705, 509.705
9884.053, 53.91818, 17.0, 0.0, 1855.769, 1855.856, 3762.593, 3762.68, 0.380768, -2.53952, -0.08716, -938.5, -938.585, 60.8252, 60.845, -0.47782, 3.722046, 0.085205, 314.2086, 314.2337, 501.4727, 501.4727, 0.37234, -1.10358, -0.02509, 0.0, 5.08, 0.0, 5.182373, -0.10918, -0.10918, -0.11727, 5.182373, 0.0, 1022.461, 1025.144, 1025.144, 1025.144, -0.05692, 24.59244, 24.59244, 24.59244, 2.320366, 2.320366, 2.32e-05, 1.151894, 0.721517, 0.305443, -7.62277, 0.0, 6.578873, 0.0, 7.377235, 0.0, -9.42113, 0.0, -6.19727, 0.0, 0.0, 0.0, -6169.05, 0.0, -8360.05, 0.0, -0.30226, 0.0, -6.19727, 0.0, -1.69727, 0.0, 506.64, 506.64
10775.59, 64.66348, 17.0, 0.0, 1848.596, 1848.817, 3755.419, 3755.455, 0.504028, -2.79889, -0.22119, -930.669, -930.719, 68.655, 68.60501, -0.44112, 4.042371, 0.049995, 310.847, 310.8745, 498.111, 498.111, 0.392195, -1.20826, -0.0274, 0.0, 5.08, 0.0, 5.183929, -0.11166, -0.11166, -0.11653, 5.183929, 0.0, 1116.211, 1117.139, 1117.139, 1117.139, -0.03083, 28.46658, 28.46658, 28.46658, 2.690765, 2.690765, 2.69e-05, 1.229713, 0.762327, 0.316844, -7.61078, 0.0, 6.623094, 0.0, 7.389223, 0.0, -9.37691, 0.0, -6.19653, 0.0, 0.0, 0.0, -7060.59, 0.0, -9251.59, 0.0, -0.30709, 0.0, -6.19653, 0.0, -1.69653, 0.0, 503.28, 503.28
11733.62, 76.38533, 17.0, 0.0, 1840.794, 1840.933, 3747.616, 3747.755, 1.128625, -3.0151, -0.1394, -922.151, -922.267, 77.17124, 77.185, -0.33405, 4.413372, 0.116241, 307.1908, 307.2205, 494.4548, 494.4548, 0.263276, -1.31294, -0.02972, 0.0, 5.08, 0.0, 5.190185, -0.1198, -0.1198, -0.12047, 5.190185, 0.0, 1209.961, 1213.876, 1213.876, 1213.876, -0.02687, 29.54273, 29.54273, 29.54273, 3.15082, 3.15082, 3.15e-05, 1.165069, 0.664964, 0.324597, -7.59101, 0.0, 6.700186, 0.0, 7.408993, 0.0, -9.29981, 0.0, -6.20047, 0.0, 0.0, 0.0, -8018.62, 0.0, -10209.6, 0.0, -0.31751, 0.0, -6.20047, 0.0, -1.70047, 0.0, 499.625, 499.625
12577.28, 89.08371, 17.0, 0.0, 1832.363, 1832.48, 3739.183, 3739.3, 2.109309, -3.24284, -0.11646, -912.947, -913.026, 86.37393, 86.425, -0.32623, 4.732296, 0.078934, 303.2399, 303.2719, 490.5038, 490.5038, 0.283793, -1.41762, -0.03201, 0.0, 5.08, 0.0, 5.196136, -0.12681, -0.12681, -0.12413, 5.196136, 0.0, 1303.711, 1310.423, 1310.423, 1310.423, -0.13672, 31.3363, 31.3363, 31.3363, 3.637087, 3.637087, 3.64e-05, 1.109189, 0.592625, 0.320191, -7.58336, 0.0, 6.830962, 0.0, 7.416639, 0.0, -9.16904, 0.0, -6.20413, 0.0, 0.0, 0.0, -8862.28, 0.0, -11053.3, 0.0, -0.32187, 0.0, -6.20413, 0.0, -1.70413, 0.0, 495.675, 495.675
13593.33, 102.7587, 17.0, 0.0, 1823.304, 1823.552, 3730.122, 3730.14, 2.306284, -3.502, -0.2478, -903.056, -903.114, 96.26307, 96.205, -0.30949, 5.05962, 0.058067, 298.9942, 299.0285, 486.2581, 486.2581, 0.38874, -1.5223, -0.03433, 0.0, 5.08, 0.0, 5.196838, -0.11452, -0.11452, -0.1075, 5.196838, 0.0, 1397.461, 1397.866, 1397.866, 1397.866, -0.0316, 32.69943, 32.69943, 32.69943, 4.106258, 4.106258, 4.11e-05, 1.093021, 0.578629, 0.326736, -7.57941, 0.0, 6.829442, 0.0, 7.420587, 0.0, -9.17056, 0.0, -6.1875, 0.0, 0.0, 0.0, -9878.33, 0.0, -12069.3, 0.0, -0.32081, 0.0, -6.1875, 0.0, -1.6875, 0.0, 491.43, 491.43
14557.22, 117.4103, 17.0, 0.0, 1813.616, 1813.749, 3720.432, 3720.565, 1.529184, -3.71142, -0.13306, -892.479, -892.497, 106.8387, 106.82, -0.30977, 5.377902, 0.018654, 294.4538, 294.4904, 481.7178, 481.7178, 0.403772, -1.62698, -0.03662, 0.0, 5.08, 0.0, 5.197204, -0.11626, -0.11626, -0.10561, 5.197204, 0.0, 1491.211, 1490.999, 1490.999, 1490.999, 0.000805, 33.70383, 33.70383, 33.70383, 4.583789, 4.583789, 4.58e-05, 1.135436, 0.625269, 0.335139, -7.5844, 0.0, 6.761393, 0.0, 7.415599, 0.0, -9.23861, 0.0, -6.18561, 0.0, 0.0, 0.0, -10842.2, 0.0, -13033.2, 0.0, -0.32757, 0.0, -6.18561, 0.0, -1.68561, 0.0, 486.86, 486.86
15489.48, 133.0384, 17.0, 0.0, 1803.299, 1803.341, 3710.113, 3710.155, 0.819399, -3.92574, -0.04224, -881.215, -881.341, 118.1007, 118.13, -0.31559, 5.769714, 0.125687, 289.6186, 289.6576, 476.8827, 476.8827, 0.349866, -1.73167, -0.03891, 0.0, 5.08, 0.0, 5.202332, -0.12727, -0.12727, -0.11342, 5.202332, 0.0, 1584.961, 1587.357, 1587.357, 1587.357, -0.08376, 34.20604, 34.20604, 34.20604, 5.033587, 5.033587, 5.03e-05, 1.266551, 0.748508, 0.336704, -7.59339, 0.0, 6.727371, 0.0, 7.40661, 0.0, -9.27263, 0.0, -6.19342, 0.0, 0.0, 0.0, -11774.5, 0.0, -13965.5, 0.0, -0.33392, 0.0, -6.19342, 0.0, -1.69342, 0.0, 482.035, 482.035
16441.95, 149.643, 17.0, 0.0, 1792.353, 1792.553, 3699.165, 3699.08, 0.622024, -4.18947, -0.2002, -869.265, -869.339, 130.0492, 129.975, -0.65633, 6.082175, 0.074173, 284.4888, 284.5301, 471.7529, 471.7529, 0.375993, -1.83635, -0.04123, 0.0, 5.08, 0.0, 5.212158, -0.13328, -0.13328, -0.11592, 5.212158, 0.0, 1678.711, 1677.076, 1677.076, 1677.076, 0.011883, 33.05815, 33.05815, 33.05815, 5.4245, 5.4245, 5.42e-05, 1.217239, 0.700221, 0.341723, -7.58367, 0.0, 6.684762, 0.0, 7.416333, 0.0, -9.31524, 0.0, -6.19592, 0.0, 0.0, 0.0, -12726.9, 0.0, -14917.9, 0.0, -0.3368, 0.0, -6.19592, 0.0, -1.69592, 0.0, 476.91, 476.91
17320.24, 167.2242, 17.0, 0.0, 1780.778, 1780.91, 3687.588, 3687.72, 1.054878, -4.40805, -0.13232, -856.628, -856.652, 142.6841, 142.66, -0.43339, 6.395128, 0.024109, 279.0643, 279.1078, 466.3284, 466.3284, 0.434469, -1.94103, -0.04352, 0.0, 5.08, 0.0, 5.216644, -0.14323, -0.14323, -0.12313, 5.216644, 0.0, 1772.461, 1780.452, 1780.452, 1780.452, 0.063261, 31.83851, 31.83851, 31.83851, 5.71512, 5.71512, 5.72e-05, 1.131534, 0.612238, 0.35113, -7.56509, 0.0, 6.550635, 0.0, 7.434905, 0.0, -9.44936, 0.0, -6.20313, 0.0, 0.0, 0.0, -13605.2, 0.0, -15796.2, 0.0, -0.34261, 0.0, -6.20313, 0.0, -1.70312, 0.0, 471.485, 471.485
18257.3, 185.7819, 17.0, 0.0, 1768.574, 1768.602, 3675.382, 3675.41, 1.450951, -4.62011, -0.02832, -843.304, -843.455, 156.0055, 156.05, -0.57245, 6.796404, 0.150482, 273.3451, 273.3909, 460.6091, 460.6091, 0.390862, -2.04571, -0.04581, 0.0, 5.08, 0.0, 5.215881, -0.14908, -0.14908, -0.12508, 5.215881, 0.0, 1866.211, 1868.843, 1868.843, 1868.843, -0.12246, 29.75796, 29.75796, 29.75796, 5.893672, 5.893672, 5.89e-05, 1.179588, 0.651255, 0.360104, -7.55945, 0.0, 6.49911, 0.0, 7.440547, 0.0, -9.50089, 0.0, -6.20508, 0.0, 0.0, 0.0, -14542.3, 0.0, -16733.3, 0.0, -0.35214, 0.0, -6.20508, 0.0, -1.70508, 0.0, 465.76, 465.76
19225.36, 205.3163, 17.0, 0.0, 1755.741, 1755.96, 3662.547, 3662.445, 1.702734, -4.89016, -0.21826, -829.294, -829.367, 170.0133, 170.14, -0.39562, 7.095878, 0.073303, 267.3312, 267.3793, 454.5951, 454.5951, 0.287295, -2.15038, -0.04813, 0.0, 5.08, 0.0, 5.18985, -0.15513, -0.15513, -0.1267, 5.18985, 0.0, 1959.961, 1962.925, 1962.925, 1962.925, 0.020592, 27.39042, 27.39042, 27.39042, 5.986366, 5.986366, 5.99e-05, 1.313948, 0.780838, 0.356545, -7.55259, 0.0, 6.702298, 0.0, 7.447411, 0.0, -9.2977, 0.0, -6.2067, 0.0, 0.0, 0.0, -15510.4, 0.0, -17701.4, 0.0, -0.35782, 0.0, -6.2067, 0.0, -1.7067, 0.0, 459.75, 459.75
20058.77, 225.8, 17.0, 0.0, 1742.383, 1742.437, 3649.186, 3649.24, 0.570818, -4.97236, -0.0542, -814.71, -814.67, 184.5949, 184.635, 0.001364, 7.205488, -0.04008, 261.0708, 261.12, 448.3349, 448.3349, 0.196539, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.160125, -0.13643, -0.13643, -0.10103, 5.160125, 0.0, 2000.0, 2015.656, 2015.656, 2015.656, -0.30835, -16.1578, -16.1578, -16.1578, 5.077654, 5.077654, 5.08e-05, 1.256198, 0.707067, 0.347464, -7.58159, 0.0, 6.852812, 0.0, 7.418411, 0.0, -9.14719, 0.0, -6.18103, 0.0, 0.0, 0.0, -16343.8, 0.0, -18534.8, 0.0, -0.35333, 0.0, -6.18103, 0.0, -1.68103, 0.0, 453.46, 453.46
20026.9, 246.6467, 17.0, 0.0, 1728.968, 1728.86, 3635.768, 3635.66, 0.867776, -4.94109, 0.10791, -800.063, -800.133, 199.2391, 199.37, -0.27298, 7.260147, 0.069138, 254.7837, 254.8328, 442.0477, 442.0477, 0.116529, -2.23338, -0.0491, 0.0, 5.08, 0.0, 5.137299, -0.11848, -0.11848, -0.0782, 5.137299, 0.0, 2000.0, 2012.242, 2012.242, 2012.242, -0.223, -6.1137, -6.1137, -6.1137, 2.928201, 2.928201, 2.93e-05, 1.125597, 0.576964, 0.344442, -7.71715, 0.0, 7.284691, 0.0, 7.282855, 0.0, -8.71531, 0.0, -6.1582, 0.0, 0.0, 0.0, -16311.9, 0.0, -18502.9, 0.0, -0.34635, 0.0, -6.1582, 0.0, -1.6582, 0.0, 447.15, 447.15
20027.04, 267.4791, 17.0, 0.0, 1715.552, 1715.618, 3622.35, 3622.085, 0.626312, -4.97609, -0.06543, -785.417, -785.415, 213.8833, 214.085, -0.11699, 7.224312, -0.00165, 248.4965, 248.5456, 435.7605, 435.7605, 0.2641, -2.23315, -0.0491, 0.0, 5.08, 0.0, 5.14447, -0.12137, -0.12137, -0.08037, 5.14447, 0.0, 2000.0, 2013.949, 2013.949, 2013.949, -0.21667, -5.89847, -5.89847, -5.89847, 1.68366, 1.68366, 1.68e-05, 0.737584, 0.388281, 0.301448, -7.82164, 0.0, 7.753889, 0.0, 7.178358, 0.0, -8.24611, 0.0, -6.16037, 0.0, 0.0, 0.0, -16312.0, 0.0, -18503.0, 0.0, -0.33385, 0.0, -6.16037, 0.0, -1.66037, 0.0, 440.87, 440.87
20022.28, 288.3112, 17.0, 0.0, 1702.137, 1702.055, 3608.931, 3608.85, 0.575326, -4.94635, 0.081543, -770.77, -770.708, 228.5276, 228.59, -0.09075, 7.193225, -0.06244, 242.2093, 242.2585, 429.4734, 429.4734, 0.329012, -2.23326, -0.0491, 0.0, 5.08, 0.0, 5.141632, -0.12513, -0.12513, -0.08254, 5.141632, 0.0, 2000.0, 2011.673, 2011.673, 2011.673, -0.23248, -7.54857, -7.54857, -7.54857, 1.030238, 1.030238, 1.03e-05, 0.274505, 0.076401, 0.251928, -7.80258, 0.0, 7.741325, 0.0, 7.197415, 0.0, -8.25867, 0.0, -6.16254, 0.0, 0.0, 0.0, -16307.3, 0.0, -18498.3, 0.0, -0.28846, 0.0, -6.16254, 0.0, -1.66254, 0.0, 434.585, 434.585
20022.76, 309.1432, 17.0, 0.0, 1688.721, 1688.517, 3595.513, 3595.31, 0.12842, -4.92132, 0.203613, -756.124, -756.186, 243.1718, 243.3, -0.11389, 7.254602, 0.061798, 235.9222, 235.9713, 423.1862, 423.1862, 0.303342, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.143799, -0.09771, -0.09771, -0.04967, 5.143799, 0.0, 2000.0, 2014.328, 2014.328, 2014.328, -0.1819, -7.33334, -7.33334, -7.33334, 0.670096, 0.670096, 6.70e-06, 0.310544, 0.043994, 0.276006, -7.77926, 0.0, 7.610492, 0.0, 7.220741, 0.0, -8.38951, 0.0, -6.12967, 0.0, 0.0, 0.0, -16307.8, 0.0, -18498.8, 0.0, -0.25912, 0.0, -6.12967, 0.0, -1.62967, 0.0, 428.295, 428.295
20010.97, 329.9752, 17.0, 0.0, 1675.305, 1675.305, 3582.095, 3582.095, -0.34859, -4.96128, 0.000244, -741.477, -741.483, 257.816, 258.01, -0.29083, 7.22596, 0.006012, 229.635, 229.6841, 416.899, 416.899, 0.288142, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.145966, -0.10147, -0.10147, -0.05184, 5.145966, 0.0, 2000.0, 2012.621, 2012.621, 2012.621, -0.20087, -7.62031, -7.62031, -7.62031, 0.463433, 0.463433, 4.63e-06, 0.46644, 0.184642, 0.287652, -7.78624, 0.0, 7.625462, 0.0, 7.213758, 0.0, -8.37454, 0.0, -6.13184, 0.0, 0.0, 0.0, -16296.0, 0.0, -18487.0, 0.0, -0.27701, 0.0, -6.13184, 0.0, -1.63184, 0.0, 421.975, 421.975
19990.9, 350.8072, 17.0, 0.0, 1661.89, 1661.783, 3568.677, 3568.57, 0.151171, -4.93917, 0.107178, -726.831, -726.791, 272.4602, 272.5, -0.12053, 7.202491, -0.03979, 223.3478, 223.397, 410.6118, 410.6118, 0.224394, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.148132, -0.10591, -0.10591, -0.054, 5.148132, 0.0, 2000.0, 2010.345, 2010.345, 2010.345, 0.00462, -6.90288, -6.90288, -6.90288, 0.29058, 0.29058, 2.91e-06, 0.428463, 0.152408, 0.278908, -7.76978, 0.0, 7.575532, 0.0, 7.230218, 0.0, -8.42447, 0.0, -6.134, 0.0, 0.0, 0.0, -16275.9, 0.0, -18466.9, 0.0, -0.2836, 0.0, -6.134, 0.0, -1.634, 0.0, 415.69, 415.69
19983.25, 371.6393, 17.0, 0.0, 1648.474, 1648.595, 3555.259, 3555.055, 0.452922, -4.98434, -0.12085, -712.184, -712.084, 287.1044, 287.205, -0.29179, 7.171686, -0.10056, 217.0607, 217.1098, 404.3247, 404.3247, 0.273317, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.145324, -0.10478, -0.10478, -0.0512, 5.145324, 0.0, 2000.0, 1998.395, 1998.395, 1998.395, 0.03307, -5.75498, -5.75498, -5.75498, 0.244232, 0.244232, 2.44e-06, 0.361563, 0.035713, 0.284273, -7.75169, 0.0, 7.518491, 0.0, 7.248309, 0.0, -8.48151, 0.0, -6.13119, 0.0, 0.0, 0.0, -16268.3, 0.0, -18459.3, 0.0, -0.27964, 0.0, -6.13119, 0.0, -1.6312, 0.0, 409.405, 409.405
19994.82, 392.4713, 17.0, 0.0, 1635.059, 1635.078, 3541.841, 3541.86, 0.594629, -4.96333, -0.01904, -697.537, -697.571, 301.7487, 301.915, -0.30679, 7.238207, 0.033661, 210.7735, 210.8226, 398.0375, 398.0375, 0.283399, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.147492, -0.10373, -0.10373, -0.04836, 5.147492, 0.0, 2000.0, 1997.826, 1997.826, 1997.826, 0.064682, -6.75939, -6.75939, -6.75939, 0.209662, 0.209662, 2.10e-06, 0.462757, 0.140719, 0.282787, -7.77586, 0.0, 7.689206, 0.0, 7.224139, 0.0, -8.31079, 0.0, -6.12836, 0.0, 0.0, 0.0, -16279.8, 0.0, -18470.8, 0.0, -0.28279, 0.0, -6.12836, 0.0, -1.62836, 0.0, 403.115, 403.115
19983.32, 413.3033, 17.0, 0.0, 1621.643, 1621.565, 3528.423, 3528.345, 1.053754, -4.94347, 0.077637, -682.891, -682.864, 316.3929, 316.625, -0.24659, 7.20735, -0.0271, 204.4863, 204.5355, 391.7503, 391.7503, 0.21741, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.149658, -0.11238, -0.11238, -0.05553, 5.149658, 0.0, 2000.0, 1999.912, 1999.912, 1999.912, -0.13448, -7.83554, -7.83554, -7.83554, 0.184589, 0.184589, 1.85e-06, 0.438715, 0.163157, 0.277005, -7.78795, 0.0, 7.72716, 0.0, 7.212053, 0.0, -8.27284, 0.0, -6.13553, 0.0, 0.0, 0.0, -16268.3, 0.0, -18459.3, 0.0, -0.28008, 0.0, -6.13553, 0.0, -1.63553, 0.0, 396.83, 396.83
20008.55, 434.1354, 17.0, 0.0, 1608.228, 1608.358, 3515.005, 3514.81, 0.504015, -4.98463, -0.13037, -668.244, -668.177, 331.0371, 331.105, -0.1555, 7.186503, -0.0679, 198.1992, 198.2483, 385.4632, 385.4632, 0.23426, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.116791, -0.11595, -0.11595, -0.0577, 5.116791, 0.0, 2000.0, 2013.19, 2013.19, 2013.19, -0.21983, -7.90728, -7.90728, -7.90728, 0.184589, 0.184589, 1.85e-06, 0.326026, 0.034799, 0.276942, -7.7585, 0.0, 7.689716, 0.0, 7.241498, 0.0, -8.31028, 0.0, -6.1377, 0.0, 0.0, 0.0, -16293.6, 0.0, -18484.6, 0.0, -0.27632, 0.0, -6.1377, 0.0, -1.6377, 0.0, 390.545, 390.545
20038.13, 454.9674, 17.0, 0.0, 1594.812, 1594.805, 3501.586, 3501.58, -0.44738, -4.95694, 0.006592, -653.598, -653.659, 345.6813, 345.815, -0.4043, 7.250847, 0.06131, 191.912, 191.9611, 379.176, 379.176, 0.326316, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.113953, -0.11411, -0.11411, -0.05486, 5.113953, 0.0, 2000.0, 2013.0, 2013.0, 2013.0, -0.18822, -7.33334, -7.33334, -7.33334, 0.176991, 0.176991, 1.77e-06, 0.450157, 0.126299, 0.275133, -7.73954, 0.0, 7.763307, 0.0, 7.260458, 0.0, -8.23669, 0.0, -6.13486, 0.0, 0.0, 0.0, -16323.1, 0.0, -18514.1, 0.0, -0.27521, 0.0, -6.13486, 0.0, -1.63486, 0.0, 384.255, 384.255
20032.88, 475.7994, 17.0, 0.0, 1581.396, 1581.273, 3488.168, 3488.045, -0.47348, -4.93316, 0.123291, -638.951, -638.947, 360.3255, 360.54, -0.42541, 7.217647, -0.00446, 185.6249, 185.674, 372.8889, 372.8889, 0.240605, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.121124, -0.12274, -0.12274, -0.06203, 5.121124, 0.0, 2000.0, 2011.103, 2011.103, 2011.103, 0.03307, -6.97462, -6.97462, -6.97462, 0.175091, 0.175091, 1.75e-06, 0.439377, 0.109485, 0.276525, -7.76579, 0.0, 7.630503, 0.0, 7.234211, 0.0, -8.3695, 0.0, -6.14203, 0.0, 0.0, 0.0, -16317.9, 0.0, -18508.9, 0.0, -0.2746, 0.0, -6.14203, 0.0, -1.64203, 0.0, 377.975, 377.975
19993.16, 496.6315, 17.0, 0.0, 1567.981, 1568.106, 3474.75, 3474.545, -0.10804, -4.98256, -0.12476, -624.305, -624.234, 374.9698, 375.04, -0.16356, 7.184242, -0.07022, 179.3377, 179.3868, 366.6017, 366.6017, 0.243947, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.128296, -0.12632, -0.12632, -0.0642, 5.128296, 0.0, 2000.0, 2009.586, 2009.586, 2009.586, 0.007782, -6.97462, -6.97462, -6.97462, 0.170153, 0.170153, 1.70e-06, 0.307063, -0.01905, 0.27616, -7.77346, 0.0, 7.505153, 0.0, 7.226542, 0.0, -8.49485, 0.0, -6.1442, 0.0, 0.0, 0.0, -16278.2, 0.0, -18469.2, 0.0, -0.27515, 0.0, -6.1442, 0.0, -1.6442, 0.0, 371.695, 371.695
19968.52, 517.4645, 17.0, 0.0, 1554.565, 1554.578, 3461.332, 3461.345, 0.395508, -4.95998, -0.01294, -609.658, -609.742, 389.614, 389.73, -0.25256, 7.260867, 0.083954, 173.0505, 173.0996, 360.3145, 360.3145, 0.23443, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.120484, -0.08948, -0.08948, -0.02138, 5.120484, 0.0, 2000.0, 1997.067, 1997.067, 1997.067, 0.010941, -7.62031, -7.62031, -7.62031, 0.166354, 0.166354, 1.66e-06, 0.411327, 0.108642, 0.282794, -7.75085, 0.0, 7.688845, 0.0, 7.249152, 0.0, -8.31115, 0.0, -6.10138, 0.0, 0.0, 0.0, -16253.5, 0.0, -18444.5, 0.0, -0.27673, 0.0, -6.10138, 0.0, -1.60138, 0.0, 365.4, 365.4
19989.44, 538.3005, 17.0, 0.0, 1541.15, 1541.061, 3447.914, 3447.825, 1.176455, -4.93931, 0.088867, -595.012, -595.03, 404.2582, 404.445, -0.48639, 7.2278, 0.018188, 166.7633, 166.8125, 354.0273, 354.0273, 0.323787, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.12265, -0.09639, -0.09639, -0.02852, 5.12265, 0.0, 2000.0, 1998.395, 1998.395, 1998.395, 0.010941, -8.48123, -8.48123, -8.48123, 0.170912, 0.170912, 1.71e-06, 0.414198, 0.106409, 0.28618, -7.75159, 0.0, 7.790117, 0.0, 7.248413, 0.0, -8.20988, 0.0, -6.10852, 0.0, 0.0, 0.0, -16274.4, 0.0, -18465.4, 0.0, -0.28241, 0.0, -6.10852, 0.0, -1.60852, 0.0, 359.12, 359.12
19991.8, 559.1364, 17.0, 0.0, 1527.734, 1527.863, 3434.496, 3434.28, 0.944034, -4.98251, -0.12915, -580.365, -580.327, 418.9024, 418.94, -0.11655, 7.199603, -0.03757, 160.4762, 160.5253, 347.7402, 347.7402, 0.362755, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.124817, -0.09924, -0.09924, -0.03069, 5.124817, 0.0, 2000.0, 1999.154, 1999.154, 1999.154, -0.21351, -8.40949, -8.40949, -8.40949, 0.174331, 0.174331, 1.74e-06, 0.287573, -0.05258, 0.279401, -7.76019, 0.0, 7.801985, 0.0, 7.239813, 0.0, -8.19802, 0.0, -6.11069, 0.0, 0.0, 0.0, -16276.8, 0.0, -18467.8, 0.0, -0.28323, 0.0, -6.11069, 0.0, -1.61069, 0.0, 352.8, 352.8
20039.7, 579.9723, 17.0, 0.0, 1514.319, 1514.296, 3421.078, 3421.055, -0.0498, -4.95145, 0.022705, -565.718, -565.62, 433.5466, 433.645, -0.23762, 7.169102, -0.09836, 154.189, 154.2381, 341.453, 341.453, 0.305342, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.121979, -0.09866, -0.09866, -0.02785, 5.121979, 0.0, 2000.0, 2010.724, 2010.724, 2010.724, -0.21667, -7.62031, -7.62031, -7.62031, 0.170153, 0.170153, 1.70e-06, 0.394887, 0.06143, 0.277998, -7.75362, 0.0, 7.901267, 0.0, 7.246382, 0.0, -8.09873, 0.0, -6.10785, 0.0, 0.0, 0.0, -16324.7, 0.0, -18515.7, 0.0, -0.27805, 0.0, -6.10785, 0.0, -1.60785, 0.0, 346.51, 346.51
20028.58, 600.8083, 17.0, 0.0, 1500.903, 1500.758, 3407.66, 3407.515, -0.359, -4.92643, 0.144531, -551.072, -551.098, 448.1908, 448.37, -0.31771, 7.230944, 0.025848, 147.9018, 147.951, 335.1658, 335.1658, 0.263705, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.12915, -0.10195, -0.10195, -0.03002, 5.12915, 0.0, 2000.0, 2010.345, 2010.345, 2010.345, -0.14712, -6.18544, -6.18544, -6.18544, 0.167113, 0.167113, 1.67e-06, 0.384273, 0.058298, 0.286056, -7.75108, 0.0, 7.755967, 0.0, 7.248917, 0.0, -8.24403, 0.0, -6.11002, 0.0, 0.0, 0.0, -16313.6, 0.0, -18504.6, 0.0, -0.27898, 0.0, -6.11002, 0.0, -1.61002, 0.0, 340.225, 340.225
20002.51, 621.6442, 17.0, 0.0, 1487.488, 1487.571, 3394.241, 3393.995, -0.62102, -4.97192, -0.0835, -536.425, -536.395, 462.835, 462.865, -0.39166, 7.202529, -0.02994, 141.6147, 141.6638, 328.8787, 328.8787, 0.331336, -2.23327, -0.04913, 0.0, 5.08, 0.0, 5.131317, -0.10921, -0.10921, -0.03719, 5.131317, 0.0, 2000.0, 1997.636, 1997.636, 1997.636, 0.061523, -6.54416, -6.54416, -6.54416, 0.167493, 0.167493, 1.67e-06, 0.267807, -0.07833, 0.28866, -7.75563, 0.0, 7.592229, 0.0, 7.244369, 0.0, -8.40777, 0.0, -6.11719, 0.0, 0.0, 0.0, -16287.5, 0.0, -18478.5, 0.0, -0.28538, 0.0, -6.11719, 0.0, -1.61719, 0.0, 333.945, 333.945
19979.56, 642.4801, 17.0, 0.0, 1474.072, 1474.068, 3380.823, 3380.82, -0.18709, -4.95435, 0.003418, -521.779, -521.693, 477.4793, 477.565, -0.20852, 7.174482, -0.08569, 135.3275, 135.3766, 322.5915, 322.5915, 0.336293, -2.23327, -0.0491, 0.0, 5.08, 0.0, 5.09848, -0.11232, -0.11232, -0.03935, 5.09848, 0.0, 2000.0, 1998.774, 1998.774, 1998.774, 0.064682, -7.54857, -7.54857, -7.54857, 0.192187, 0.192187, 1.92e-06, 0.390311, 0.059951, 0.287932, -7.7466, 0.0, 7.676017, 0.0, 7.253404, 0.0, -8.32398, 0.0, -6.11935, 0.0, 0.0, 0.0, -16264.6, 0.0, -18455.6, 0.0, -0.28707, 0.0, -6.11935, 0.0, -1.61935, 0.0, 327.66, 327.66
